from,to,cost
0,1,0.019894490342806
1,2,0.012823592203435
3,4,0.021284643525322
4,5,0.014359027299924
3,5,0.03264847814217
0,5,0.012913080383863
0,4,0.016548699344662
0,3,0.037833030277789
